Nome,Ruolo,Nazione,Quotazione
Emiliano Martinez,Portiere,Argentina,18
Alisson,Portiere,Brasile,17
Donnarumma,Portiere,Italia,16
Dimarco,Difensore,Italia,18
Bastoni,Difensore,Italia,16
Theo Hernandez,Difensore,Francia,17
Barella,Centrocampista,Italia,20
Bellingham,Centrocampista,Inghilterra,28
De Bruyne,Centrocampista,Belgio,26
Messi,Attaccante,Argentina,35
Lautaro Martinez,Attaccante,Argentina,32
Mbappe,Attaccante,Francia,36
Kane,Attaccante,Inghilterra,34
Cristiano Ronaldo,Attaccante,Portogallo,26
Lamine Yamal,Attaccante,Spagna,28
